"Bahrain","BHR","Population, total","SP.POP.TOTL","162501","167924","173107","178048","182774","187348","191782","196203","200953","206469","213102","220808","229588","239860","252139","266686","283843","303236","323511","342829","359902","374125","385950","396447","407223","419425","433487","448994","465235","481126","495944","509654","522748","535692","549151","563730","579855","597834","618054","640904","666855","694893","725365","761595","807989","867014","940808","1026568","1115777","1196774","1261319","1306014","1333577","1349427","1361930","1377237","",
"Bosnia and Herzegovina","BIH","Population, total","SP.POP.TOTL","3214520","3277096","3341809","3406466","3468083","3524596","3574972","3619997","3661642","3702834","3745637","3790948","3838002","3885229","3930283","3971608","4008411","4041623","4073480","4107135","4144726","4185074","4226663","4270598","4318301","4369527","4428460","4491745","4542757","4559256","4526996","4437898","4301169","4141167","3992256","3879278","3810649","3779354","3775898","3784389","3792878","3799747","3808347","3817313","3825872","3833377","3838504","3840418","3839749","3837732","3835258","3832310","3828419","3823533","3817554","3810416","",
"Belarus","BLR","Population, total","SP.POP.TOTL","8198000","8271216","8351928","8437232","8524224","8610000","8696496","8785648","8874552","8960304","9040000","9115576","9188968","9257272","9317584","9367000","9411000","9463000","9525000","9584000","9643000","9710000","9776000","9843000","9910000","9975000","10043000","10111000","10140000","10170000","10189000","10194000","10216000","10239000","10227000","10194000","10160000","10117000","10069000","10035000","10005000","9928000","9865000","9797000","9730000","9663000","9604000","9560000","9528000","9507000","9490000","9473000","9464000","9466000","9483000","9513000","",
"Belize","BLZ","Population, total","SP.POP.TOTL","92068","94701","97389","100166","103070","106121","109344","112699","116061","119260","122179","124792","127148","129294","131306","133261","135145","136991","138972","141308","144151","147566","151498","155820","160342","164916","169570","174326","179025","183470","187552","191127","194321","197615","201678","206962","213674","221608","230289","239024","247312","254989","262202","269132","276085","283279","290751","298403","306165","313925","321609","329193","336707","344193","351706","359287","",
"Bermuda","BMU","Population, total","SP.POP.TOTL","44400","45500","46600","47700","48900","50100","51000","52000","53000","54000","55000","54600","54200","53800","53400","53000","53200","53400","53600","53800","54670","55050","55449","55930","56423","56898","57382","57849","58347","58841","59326","59021","58595","58910","59320","59746","60129","60497","60943","61285","61833","62504","62912","63325","63740","64154","64523","64888","65273","65636","65124","64564","64798","65001","65139","65235","",
"Bolivia","BOL","Population, total","SP.POP.TOTL","3693451","3764815","3838096","3913397","3990855","4070590","4152665","4237126","4324066","4413584","4505774","4600596","4698090","4798510","4902173","5009259","5119833","5233677","5350320","5469123","5589572","5711598","5835186","5959962","6085499","6211549","6337893","6464736","6592787","6723046","6856246","6992521","7131699","7273824","7418864","7566716","7717445","7870860","8026257","8182710","8339512","8496378","8653343","8810420","8967740","9125405","9283345","9441482","9599916","9758799","9918245","10078238","10238762","10399931","10561887","10724705","",
"Brazil","BRA","Population, total","SP.POP.TOTL","72493585","74706888","77007549","79368453","81751802","84130061","86494987","88853679","91213009","93585746","95982453","98402200","100844391","103320787","105846274","108431284","111076063","113776467","116532153","119341444","122199721","125107382","128054757","131014337","133950551","136836428","139664639","142437479","145150468","147801816","150393143","152916852","155379009","157812220","160260508","162755054","165303155","167893835","170516482","173153066","175786441","178419396","181045592","183627339","186116363","188479240","190698241","192784521","194769696","196701298","198614208","200517584","202401584","204259377","206077898","207847528","",
"Barbados","BRB","Population, total","SP.POP.TOTL","230934","231674","232584","233587","234547","235373","236043","236620","237199","237911","238847","240038","241441","242980","244539","246033","247444","248785","250035","251176","252197","253080","253836","254515","255195","255929","256738","257609","258524","259454","260374","261281","262184","263091","264015","264962","265940","266944","267949","268920","269838","270686","271479","272261","273091","274013","275040","276154","277315","278466","279566","280602","281580","282503","283380","284215","",
"Brunei Darussalam","BRN","Population, total","SP.POP.TOTL","81825","85687","89603","93650","97933","102525","107450","112680","118176","123875","129729","135716","141836","148067","154395","160799","167283","173826","180357","186786","193057","199136","205061","210933","216893","223049","229418","235980","242750","249738","256939","264365","271989","279717","287423","295010","302449","309746","316873","323812","330554","337074","343383","349557","355700","361889","368150","374459","380786","387080","393302","399443","405512","411499","417394","423188","",
"Bhutan","BTN","Population, total","SP.POP.TOTL","224108","229297","234703","240364","246324","252629","259270","266293","273868","282210","291457","301653","312712","324465","336677","349146","361862","374801","387731","400378","412561","423887","434385","444789","456135","469010","484151","500952","517068","529284","535505","534678","528085","518847","511382","508897","512377","520917","533506","548387","564187","580784","598421","616474","634235","651163","666920","681471","694990","707830","720246","732246","743711","754637","765008","774830","",
"Botswana","BWA","Population, total","SP.POP.TOTL","524029","536576","549990","564316","579560","595741","612950","631276","650730","671305","693021","715811","739754","765177","792513","822029","853860","887793","923305","959666","996331","1033073","1069962","1107103","1144716","1182942","1221668","1260720","1300097","1339813","1379814","1420098","1460453","1500356","1539135","1576291","1611827","1645846","1678111","1708368","1736579","1762531","1786672","1810438","1835750","1864003","1895671","1930431","1967866","2007212","2047831","2089706","2132822","2176510","2219937","2262485","",
"Central African Republic","CAF","Population, total","SP.POP.TOTL","1503501","1529229","1556656","1585765","1616515","1648830","1682874","1718558","1755260","1792150","1828710","1864757","1900702","1937383","1975968","2017379","2061552","2108417","2158844","2213888","2274095","2340259","2411693","2485666","2558432","2627424","2691312","2751163","2809720","2871005","2937832","3010950","3089141","3170848","3253698","3335840","3417163","3497910","3577028","3653310","3726048","3794677","3859784","3923294","3987896","4055608","4127112","4202104","4280405","4361492","4444973","4530903","4619500","4710678","4804316","4900274","",
"Canada","CAN","Population, total","SP.POP.TOTL","17909009","18271000","18614000","18964000","19325000","19678000","20048000","20412000","20744000","21028000","21324000","21645535","21993631","22369408","22774087","23209000","23518000","23796000","24036000","24277000","24593000","24900000","25202000","25456000","25702000","25942000","26204000","26550000","26895000","27379000","27791000","28171682","28519597","28833410","29111906","29354000","29671900","29987200","30247900","30499200","30769700","31081900","31362000","31676000","31995000","32312000","32570505","32887928","33245773","33628571","34005274","34342780","34751476","35155499","35543658","35851774","",
"Central Europe and the Baltics","CEB","Population, total","SP.POP.TOTL","91401583","92237118","93014890","93845749","94722599","95447065","96148635","97043587","97882394","98602140","99133296","99638983","100363597","101120519","101946256","102862489","103770134","104589313","105304312","105924838","106564905","107187982","107770794","108326895","108853181","109360296","109847148","110296680","110688533","110801380","110745760","110290445","110005636","110081461","110019570","109913216","109563097","109459093","109207205","109092730","108405522","107811539","107128884","106808998","106530417","106254694","105999320","105504531","105126686","104924372","104543801","104174038","103935318","103713726","103496179","103318638","",
"Switzerland","CHE","Population, total","SP.POP.TOTL","5327827","5434294","5573815","5694247","5789228","5856472","5918002","5991785","6067714","6136387","6180877","6213399","6260956","6307347","6341405","6338632","6302504","6281174","6281738","6294365","6319408","6354074","6391309","6418773","6441865","6470365","6504124","6545106","6593386","6646912","6715519","6799978","6875364","6938265","6993795","7040687","7071850","7088906","7110001","7143991","7184250","7229854","7284753","7339001","7389625","7437115","7483934","7551117","7647675","7743831","7824909","7912398","7996861","8089346","8188649","8286976","",
"Channel Islands","CHI","Population, total","SP.POP.TOTL","109419","110399","111463","112595","113778","114992","116226","117475","118726","119971","121196","122413","123611","124728","125680","126417","126906","127190","127394","127694","128213","128988","129983","131158","132451","133804","135227","136716","138186","139528","140669","141568","142258","142822","143388","144050","144832","145709","146669","147682","148725","149797","150905","152034","153170","154298","155415","156516","157587","158613","159583","160489","161336","162138","162917","163692","",
"Chile","CHL","Population, total","SP.POP.TOTL","7695692","7873504","8054166","8237555","8423614","8612074","8802926","8995410","9187592","9377005","9561868","9741579","9916558","10087377","10255074","10420590","10584237","10746328","10907901","11070198","11234340","11400489","11569135","11742057","11921407","12108576","12304203","12507488","12716508","12928491","13141202","13354054","13566942","13778676","13987999","14193986","14396020","14594070","14788609","14980484","15170387","15358418","15544554","15729268","15913119","16096571","16279728","16462701","16645940","16829957","17015048","17201305","17388437","17575833","17762647","17948141","",
"China","CHN","Population, total","SP.POP.TOTL","667070000","660330000","665770000","682335000","698355000","715185000","735400000","754550000","774510000","796025000","818315000","841105000","862030000","881940000","900350000","916395000","930685000","943455000","956165000","969005000","981235000","993885000","1008630000","1023310000","1036825000","1051040000","1066790000","1084035000","1101630000","1118650000","1135185000","1150780000","1164970000","1178440000","1191835000","1204855000","1217550000","1230075000","1241935000","1252735000","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1344130000","1350695000","1357380000","1364270000","1371220000","",
"Cote d'Ivoire","CIV","Population, total","SP.POP.TOTL","3474724","3602075","3740503","3889859","4049675","4219739","4400054","4591238","4794399","5010962","5241914","5487594","5747633","6021405","6307936","6606395","6916302","7237451","7569558","7912390","8265549","8629121","9002400","9383289","9769105","10158033","10548148","10939987","11337122","11744698","12165909","12600967","13046907","13499696","13953779","14404340","14852193","15296390","15728482","16137824","16517948","16865376","17185421","17491539","17802516","18132702","18486392","18862172","19261647","19684909","20131707","20604172","21102641","21622490","22157107","22701556","",
"Cameroon","CMR","Population, total","SP.POP.TOTL","5361367","5474509","5593768","5719135","5850454","5987671","6130990","6280743","6437157","6600479","6770967","6948847","7134374","7327874","7529704","7740196","7959500","8187840","8425707","8673666","8932121","9201146","9480638","9770555","10070779","10381098","10701458","11031515","11370394","11716975","12070359","12430311","12796739","13169100","13546823","13929575","14317191","14709961","15108630","15514249","15927713","16349364","16779434","17218591","17667576","18126999","18597109","19078100","19570418","20074522","20590666","21119065","21659488","22211166","22773014","23344179","",
"Colombia","COL","Population, total","SP.POP.TOTL","16480384","16982313","17500166","18033548","18581972","19144220","19721464","20311369","20905061","21490948","22061214","22611988","23146803","23674505","24208022","24756969","25323412","25905124","26502172","27113510","27737905","28375995","29027158","29687096","30350082","31011686","31669780","32324326","32975533","33624442","34271563","34916770","35558683","36195170","36823539","37441980","38049040","38645409","39234059","39819279","40403959","40988909","41572493","42152147","42724157","43285636","43835744","44374647","44901660","45416276","45918101","46406446","46881018","47342363","47791393","48228704","",
"Comoros","COM","Population, total","SP.POP.TOTL","188732","191828","194960","198205","201665","205412","209536","214038","218794","223629","228443","233125","237797","242875","248921","256309","265234","275496","286583","297765","308518","318659","328355","337853","347548","357729","368443","379589","391133","403003","415144","427556","440252","453188","466309","479574","492979","506525","520180","533909","547696","561525","575428","589500","603869","618632","633814","649404","665414","681845","698695","715972","733661","751697","769991","788474","",
"Cabo Verde","CPV","Population, total","SP.POP.TOTL","202316","205958","210866","216913","223854","231427","239765","248733","257478","264885","270197","273053","273788","273211","272509","272575","273625","275479","278152","281555","285599","290428","296071","302174","308251","313976","319161","323972","328861","334473","341256","349326","358473","368423","378763","389156","399508","409805","419884","429576","438737","447357","455396","462675","468985","474224","478265","481278","483824","486673","490379","495159","500870","507258","513906","520502","",
"Costa Rica","CRI","Population, total","SP.POP.TOTL","1333042","1381920","1432583","1484512","1537035","1589625","1642189","1694711","1746870","1798315","1848873","1898366","1947048","1995744","2045580","2097410","2151492","2207727","2266153","2326708","2389309","2454127","2521163","2589932","2659772","2730231","2800986","2872214","2944560","3018953","3095994","3175654","3257463","3341005","3425692","3510925","3596733","3682725","3767369","3848725","3925450","3996800","4063208","4125970","4187039","4247843","4308790","4369465","4429506","4488261","4545273","4600487","4654148","4706433","4757606","4807850","",
"Caribbean small states","CSS","Population, total","SP.POP.TOTL","4190810","4270928","4353408","4435830","4514432","4586896","4653340","4713767","4770152","4825706","4882583","4940523","4999973","5060335","5120227","5178940","5237098","5293790","5350330","5409054","5471020","5531599","5599100","5667553","5732089","5786277","5831154","5863744","5886592","5923643","5960368","6001738","6047269","6096016","6146503","6197620","6258158","6312682","6365223","6411686","6454716","6497461","6532561","6567210","6603018","6640916","6681231","6723587","6767278","6811213","6854569","6896697","6937108","6975754","7012857","7048966","",
"Cuba","CUB","Population, total","SP.POP.TOTL","7141129","7289828","7450404","7618359","7787149","7951928","8110428","8263547","8413329","8563191","8715123","8869961","9025299","9176051","9315371","9438445","9544268","9634677","9711393","9777287","9835177","9884219","9925618","9966733","10017061","10082990","10167998","10269276","10379080","10486110","10582082","10664577","10735775","10797556","10853435","10906048","10955372","11000431","11041893","11080506","11116787","11151472","11184540","11214837","11240680","11261052","11275199","11284043","11290239","11297442","11308133","11323570","11342631","11362505","11379111","11389562","",
"Curacao","CUW","Population, total","SP.POP.TOTL","124826","126125","128414","130860","133148","135266","136682","138140","140298","142581","144739","147389","147710","146912","148351","149129","149399","149459","148341","147851","148041","148629","150101","151159","151940","152711","152662","151456","149254","146937","145400","144403","143912","144299","144630","145139","146306","146956","144472","139428","133860","129047","129205","131897","134192","137658","141239","144056","145880","146833","148703","150831","152088","153822","155909","158040","",
"Cayman Islands","CYM","Population, total","SP.POP.TOTL","7867","8026","8142","8228","8299","8371","8442","8518","8632","8831","9144","9583","10137","10785","11494","12238","13020","13840","14663","15447","16164","16795","17357","17911","18543","19315","20254","21343","22539","23776","25009","26211","27402","28652","30055","31672","33535","35596","37742","39810","41685","43317","44742","46032","47299","48623","50028","51480","52925","54285","55509","56580","57522","58369","59172","59967","",
"Cyprus","CYP","Population, total","SP.POP.TOTL","572929","576395","577691","577912","578629","580971","585311","591304","598491","606117","613619","620860","628000","635109","642335","649755","657526","665528","673252","680013","685406","689173","691711","694074","697717","703693","712340","723380","736477","751047","766611","783138","800660","818814","837166","855389","873246","890733","908040","925491","943287","961482","979883","998150","1015827","1032586","1048293","1063040","1077010","1090486","1103685","1116644","1129303","1141652","1153658","1165300","",
"Czech Republic","CZE","Population, total","SP.POP.TOTL","9602006","9586651","9624660","9670685","9727804","9779358","9821040","9852899","9876346","9896580","9858071","9826815","9867632","9922266","9988459","10058620","10125939","10186755","10242098","10292341","10304193","10300591","10314826","10323856","10330213","10337118","10342227","10347318","10355276","10361068","10333355","10308578","10319123","10329855","10333587","10327253","10315241","10304131","10294373","10283860","10255063","10216605","10196916","10193998","10197101","10211216","10238905","10298828","10384603","10443936","10474410","10496088","10510785","10514272","10525347","10551219","",
"Germany","DEU","Population, total","SP.POP.TOTL","72814900","73377632","74025784","74714353","75318337","75963695","76600311","76951336","77294314","77909682","78169289","78312842","78688452","78936666","78967433","78673554","78336950","78159814","78091820","78126350","78288576","78407907","78333366","78128282","77858685","77684873","77720436","77839920","78144619","78751283","79433029","80013896","80624598","81156363","81438348","81678051","81914831","82034771","82047195","82100243","82211508","82349925","82488495","82534176","82516260","82469422","82376451","82266372","82110097","81902307","81776930","81797673","80425823","82132753","80982500","81413145","",
"Djibouti","DJI","Population, total","SP.POP.TOTL","83636","88499","94200","100622","107584","114963","122868","131403","140461","149891","159667","169370","179212","190536","205157","224182","248619","277622","308213","336254","358960","374683","384743","392908","404589","423470","451068","485565","523266","558810","588356","610679","627063","639215","649878","661076","673202","685644","698256","710652","722562","734088","745459","756656","767644","778406","788941","799309","809639","820097","830802","841802","853069","864554","876174","887861","",
"Dominica","DMA","Population, total","SP.POP.TOTL","60016","61035","61984","62920","63921","65038","66305","67682","69042","70212","71076","71566","71737","71745","71811","72091","72648","73411","74239","74923","75313","75376","75168","74750","74215","73640","73025","72368","71743","71242","70928","70849","70978","71205","71372","71367","71146","70756","70295","69902","69679","69660","69806","70058","70325","70542","70690","70795","70881","70995","71167","71402","71685","72005","72341","72680","",
"Denmark","DNK","Population, total","SP.POP.TOTL","4579603","4611687","4647727","4684483","4722072","4759012","4797381","4835354","4864883","4891860","4928757","4963126","4991596","5021861","5045297","5059862","5072596","5088419","5104248","5116801","5123027","5121572","5117810","5114297","5111619","5113691","5120534","5127024","5129516","5132594","5140939","5154298","5171370","5188628","5206180","5233373","5263074","5284991","5304219","5321799","5339616","5358783","5375931","5390574","5404523","5419432","5437272","5461438","5493621","5523095","5547683","5570572","5591572","5614932","5643475","5676002","",
"Dominican Republic","DOM","Population, total","SP.POP.TOTL","3294039","3406299","3521276","3638628","3757962","3878952","4001377","4125107","4250026","4376056","4503114","4631114","4759935","4889437","5019471","5149934","5280727","5411867","5543520","5675930","5809271","5943591","6078816","6214857","6351572","6488857","6626544","6764623","6903314","7042940","7183646","7325622","7468551","7611463","7753052","7892420","8029114","8163474","8296375","8429116","8562623","8697127","8832286","8967759","9102997","9237565","9371333","9504336","9636491","9767737","9897983","10027140","10155036","10281408","10405943","10528391","",
"Algeria","DZA","Population, total","SP.POP.TOTL","11124892","11404859","11690152","11985130","12295973","12626953","12980269","13354197","13744383","14144437","14550033","14960111","15377095","15804428","16247113","16709098","17190236","17690184","18212331","18760761","19337723","19943667","20575701","21228288","21893857","22565908","23241276","23917889","24591493","25257671","25912364","26554277","27180921","27785977","28362015","28904300","29411839","29887717","30336880","30766551","31183658","31590320","31990387","32394886","32817225","33267887","33749328","34261971","34811059","35401790","36036159","36717132","37439427","38186135","38934334","39666519","",
